answer_id,timestamp,prefecture,serials_nagoya1,serials_nagoya2,serials_kobe1,serials_kobe2,serials_saitama1,serials_saitama2,tickets_nagoya1,tickets_nagoya2,tickets_kobe1,tickets_kobe2,tickets_saitama1,tickets_saitama2
405,2017/05/02 11:26:26 午後 GMT+9,埼玉県,0,0,0,0,1,1,0,0,0,0,0,2
406,2017/05/03 12:26:54 午前 GMT+9,千葉県,1,1,1,1,1,1,0,0,0,0,2,0
407,2017/05/03 4:44:41 午前 GMT+9,長野県,2,0,0,0,0,0,0,0,0,0,0,0
408,2017/05/03 6:25:51 午前 GMT+9,福岡県,1,1,1,1,1,1,2,2,2,2,2,2
409,2017/05/03 7:28:55 午前 GMT+9,新潟県,2,2,1,1,0,0,0,2,0,0,0,0
410,2017/05/03 8:25:39 午前 GMT+9,岡山県,2,2,2,2,2,2,0,2,0,2,2,0
411,2017/05/03 1:41:25 午後 GMT+9,埼玉県,0,0,0,0,2,0,0,0,0,0,2,0
412,2017/05/03 3:17:15 午後 GMT+9,埼玉県,0,0,0,0,2,2,0,0,0,0,2,0
413,2017/05/03 3:19:30 午後 GMT+9,,0,0,0,0,2,2,0,0,0,0,1,0
414,2017/05/03 3:20:10 午後 GMT+9,愛知県,1,1,1,1,1,1,0,0,0,2,0,2
415,2017/05/03 4:20:52 午後 GMT+9,埼玉県,0,0,0,0,1,0,0,0,0,0,2,0
416,2017/05/03 4:40:45 午後 GMT+9,福岡県,0,5,0,5,0,3,0,2,0,0,0,2
417,2017/05/03 5:02:38 午後 GMT+9,,0,0,0,0,0,1,0,0,0,0,0,2
418,2017/05/03 6:48:29 午後 GMT+9,神奈川県,1,1,1,1,1,1,2,0,0,0,0,2
419,2017/05/03 7:04:34 午後 GMT+9,兵庫県,1,1,1,1,0,1,0,0,0,0,0,2
420,2017/05/03 10:28:41 午後 GMT+9,千葉県,0,0,0,0,1,1,0,0,0,0,0,2
421,2017/05/03 11:28:45 午後 GMT+9,愛知県,1,1,2,2,1,1,0,0,0,2,0,2
422,2017/05/04 12:57:54 午前 GMT+9,,1,1,1,1,0,0,0,0,0,0,0,0
423,2017/05/04 5:16:11 午前 GMT+9,神奈川県,0,0,1,1,1,1,0,0,0,0,0,2
424,2017/05/04 8:11:11 午前 GMT+9,静岡県,1,1,0,0,0,0,1,0,0,0,0,0
425,2017/05/04 8:11:33 午前 GMT+9,静岡県,1,1,0,0,0,0,0,1,0,0,0,0
426,2017/05/04 9:40:37 午後 GMT+9,大阪府,3,3,4,4,3,3,0,0,0,0,2,0
427,2017/05/04 9:45:35 午後 GMT+9,大阪府,0,0,5,5,0,0,0,0,0,0,0,0
428,2017/05/05 1:53:04 午後 GMT+9,東京都,1,1,1,1,4,4,0,0,0,0,0,2
429,2017/05/05 4:44:19 午後 GMT+9,愛知県,1,0,0,0,0,0,1,0,0,0,0,0
430,2017/05/05 6:33:34 午後 GMT+9,大阪府,2,2,6,6,0,1,0,0,0,0,0,2
431,2017/05/05 9:40:05 午後 GMT+9,北海道,1,1,1,1,1,1,0,0,0,0,0,1
432,2017/05/05 9:43:51 午後 GMT+9,愛知県,1,1,0,0,1,1,0,2,0,0,0,2
433,2017/05/06 8:49:38 午前 GMT+9,大阪府,1,1,1,1,1,1,0,0,0,1,1,0
434,2017/05/06 1:36:11 午後 GMT+9,愛知県,1,0,0,0,0,0,2,0,0,0,0,0
436,2017/05/07 11:03:40 午前 GMT+9,東京都,0,0,3,3,2,2,0,0,0,0,2,2
437,2017/05/07 11:04:03 午前 GMT+9,東京都,0,0,0,0,3,3,0,0,0,0,2,2
438,2017/05/07 11:30:29 午後 GMT+9,東京都,0,0,0,0,1,0,0,0,0,0,1,0
439,2017/05/08 1:06:17 午前 GMT+9,,0,0,0,0,0,1,0,0,0,0,0,1
440,2017/05/08 1:13:55 午前 GMT+9,,1,1,0,0,5,5,0,0,0,0,1,0
441,2017/05/08 6:36:47 午前 GMT+9,東京都,1,1,1,1,2,2,0,0,0,2,2,0
442,2017/05/08 8:04:40 午前 GMT+9,,0,0,0,0,2,2,0,0,0,0,2,0
443,2017/05/08 1:33:49 午後 GMT+9,神奈川県,0,0,0,0,1,0,0,0,0,0,1,0
444,2017/05/08 4:03:50 午後 GMT+9,埼玉県,0,0,0,0,3,3,0,0,0,0,0,2
